
Age,Department,Education,Experience,Previous_Promotions,Trainings_Attended,Promotion
25,Sales,Bachelors,2,0,1,0
29,HR,Masters,5,0,2,0
35,Tech,Masters,10,1,3,1
40,Finance,Bachelors,15,2,1,1
28,Sales,Masters,4,0,2,0
33,Tech,PhD,8,0,3,1
45,HR,Masters,20,3,2,1
30,Finance,Bachelors,6,0,1,0
38,Sales,Masters,12,1,2,1
27,Tech,Bachelors,3,0,2,0
42,Finance,Masters,18,2,3,1
36,Sales,PhD,9,1,1,1
31,HR,Bachelors,7,0,2,0
39,Tech,Masters,14,2,3,1
26,Sales,Bachelors,2,0,1,0
34,Finance,PhD,11,1,2,1
32,Tech,Masters,9,0,2,0
41,Sales,Masters,16,2,3,1
37,HR,Bachelors,13,1,2,0
29,Tech,Masters,5,0,1,0
46,Finance,Masters,21,3,3,1
28,HR,Masters,4,0,2,0
35,Sales,Bachelors,10,1,1,1
40,Tech,PhD,15,2,3,1
30,Finance,Bachelors,7,0,2,0
44,Sales,Masters,19,2,3,1
33,HR,Masters,8,0,2,0
36,Tech,Bachelors,12,1,1,1
38,Finance,Masters,14,1,2,1
27,Sales,Bachelors,3,0,1,0
45,Tech,Masters,20,3,3,1
31,Finance,Bachelors,6,0,2,0
39,Sales,PhD,13,1,2,1
42,HR,Masters,17,2,3,1
29,Tech,Bachelors,5,0,2,0
34,Finance,Masters,10,1,1,1
37,Sales,Masters,12,1,2,1
43,Tech,PhD,18,2,3,1
28,HR,Bachelors,4,0,1,0
41,Finance,Masters,16,2,2,1
30,Sales,Masters,7,0,1,0
38,Tech,Masters,13,1,3,1
27,Finance,Bachelors,3,0,1,0
44,HR,PhD,19,2,2,1
36,Sales,Masters,11,1,2,1
33,Tech,Bachelors,9,0,1,0
40,Finance,Masters,15,2,3,1
29,HR,Bachelors,5,0,1,0
35,Sales,PhD,10,1,2,1
47,Tech,Masters,22,3,3,1
32,Finance,Bachelors,8,0,2,0
39,HR,Masters,14,2,3,1
28,Sales,Bachelors,4,0,1,0
41,Tech,PhD,17,2,3,1
37,Finance,Masters,12,1,2,1
34,HR,Masters,9,0,2,0
45,Sales,Masters,20,3,3,1
31,Tech,Bachelors,6,0,1,0
43,Finance,PhD,18,2,3,1
29,HR,Masters,5,0,2,0
36,Sales,Masters,11,1,1,1
40,Tech,Bachelors,15,2,2,1
27,Finance,Masters,3,0,1,0
38,Sales,PhD,13,1,3,1
33,HR,Bachelors,8,0,2,0
46,Tech,Masters,21,3,3,1
30,Finance,Bachelors,6,0,1,0
42,HR,Masters,17,2,2,1
35,Sales,Masters,10,1,2,1
39,Tech,PhD,14,2,3,1
28,Finance,Bachelors,4,0,1,0
44,Sales,Masters,19,2,3,1
32,HR,Masters,7,0,2,0
41,Tech,Bachelors,16,2,2,1
37,Finance,Masters,12,1,1,1
29,Sales,Bachelors,5,0,1,0
45,HR,PhD,20,3,3,1
34,Tech,Masters,9,0,2,0
43,Finance,Masters,18,2,3,1
31,Sales,Masters,6,0,1,0
40,Tech,PhD,15,2,2,1
27,HR,Bachelors,3,0,1,0
38,Finance,Masters,13,1,2,1
36,Sales,Masters,11,1,1,1
33,Tech,Bachelors,9,0,2,0
42,Finance,PhD,17,2,3,1
28,HR,Masters,4,0,2,0
39,Sales,Masters,14,2,2,1
35,Tech,Masters,10,1,2,1
47,Finance,Bachelors,22,3,3,1
30,HR,Masters,6,0,1,0
44,Sales,PhD,19,2,3,1
32,Tech,Masters,8,0,2,0
41,Finance,Masters,16,2,2,1
29,HR,Bachelors,5,0,1,0
37,Sales,Masters,12,1,2,1
43,Tech,PhD,18,2,3,1
